suite,method,bounded,lr,count,dice,condition,min_singular_value,max_singular_value,nonpositive_determinants,extreme_scale_runs,dice_change_from_rigid,dice_worse_than_rigid,seconds,loss_value,tre_mean_mm,tre_median_mm,tre_worse_than_rigid,tre_max_mm
abdomens,identity,False,0.0,8,0.373178873087302,1.0,1.0,1.0,0,0,-0.004297127721440612,4,,,,,,
abdomens,rigid,False,0.0,8,0.37747600080874266,1.0,1.0,1.0,0,0,0.0,0,0.9222462449397426,,,,,
abdomens,matrix,False,0.001,8,0.36969035182798815,1.0941434353590012,0.8095433712005615,1.004282832145691,0,0,-0.0077856489807544785,5,0.4174188411270734,0.1679631844162941,,,,
abdomens,polar,False,0.001,8,0.3697404799590119,1.0931938737630844,0.8095672726631165,1.0042980909347534,0,0,-0.0077355208497307745,5,0.9227768376003951,0.16803649812936783,,,,
abdomens,matrix,False,0.003,8,0.3661891793996035,1.1819580644369125,0.6630280017852783,1.0042846202850342,0,0,-0.011286821409139187,5,0.4192831223772373,0.16292511485517025,,,,
abdomens,polar,False,0.003,8,0.3840574685333686,1.1787939965724945,0.6627235412597656,1.0088552236557007,0,0,0.0065814677246259605,5,0.9298463798477314,0.16230823565274477,,,,
abdomens,matrix,False,0.01,8,0.38747767029958397,1.2330020517110825,0.6635652184486389,1.0087984800338745,0,0,0.010001669490841327,4,0.41488707161624916,0.15822474751621485,,,,
abdomens,polar,False,0.01,8,0.3866737271474138,1.234912484884262,0.6605949997901917,1.0088098049163818,0,0,0.009197726338671195,4,0.926939076045528,0.1578691191971302,,,,
abdomens,matrix,False,0.03,8,0.37569773080553337,1.262993961572647,0.6362733244895935,1.006894826889038,0,0,-0.0017782700032092924,4,0.41483526476076804,0.1578060630708933,,,,
abdomens,polar,False,0.03,8,0.37838690759229177,1.2687949538230896,0.6383136510848999,1.0018116235733032,0,0,0.0009109067835490689,4,0.9224128557543736,0.15767932124435902,,,,
abdomens,matrix,False,0.1,8,0.16395537145233402,9.877315014600754,0.01834787428379059,1.081304669380188,1,6,-0.21352062935640864,7,0.40975816728314385,0.16851874347776175,,,,
abdomens,polar,False,0.1,8,0.16253699814097938,2.3019439727067947,0.15956132113933563,0.9999999403953552,0,5,-0.21493900266776328,7,0.9757381803647149,0.16484613809734583,,,,
abdomens,matrix,True,0.001,8,0.36969035182798815,1.0941434353590012,0.8095433712005615,1.004282832145691,0,0,-0.0077856489807544785,5,0.46181637825793587,0.1679631844162941,,,,
abdomens,polar,True,0.001,8,0.3697404799590119,1.0931938737630844,0.8095672726631165,1.0042980909347534,0,0,-0.0077355208497307745,5,0.9836756825388875,0.16803649812936783,,,,
