source,suite,method,lr,count,errors,tre_mean_mm,tre_median_mm,min_singular_value,max_singular_value,nonpositive_determinants,tre_mean_mm_improved_over_rigid,tre_mean_mm_worst_signed_change,seconds,loss_value,mean_evaluations,restored_levels,dice,dice_improved_over_rigid,dice_worst_signed_change
brains,brains,lbfgs,1.0,3,0,5.367766227757834,2.8700790378579297,0.9694405198097229,1.163367748260498,0,2,0.15435069832860648,0.8588796196660647,-0.23763936261336008,77.66666666666667,0,0.9609683257836906,3,0.003790803355515737
brains,brains,lbfgs,3.0,3,0,5.368276589722329,2.870364825723195,0.9694582223892212,1.1633297204971313,0,2,0.15378987136731492,1.1931967413208138,-0.23763935764630637,121.66666666666667,0,0.960964038731293,3,0.0037852791616020953
brains,brains,niftyreg,,3,0,5.355445884170843,2.8159008752936074,0.9619317390990667,1.136939427130551,0,2,0.0666919060145732,166.71461616293527,,,,0.9589289447569967,3,0.0017850741684484195
abdomens,abdomens,rigid,,8,0,,,0.9999999718286163,1.0000000295335134,0,,,,,,,0.6035736590637227,0,0.0
abdomens,abdomens,adam,0.003,8,0,,,0.7428957223892212,1.3332632780075073,0,,,7.224286666285479,-1.3802444636821747,,,0.7568840427473185,8,0.05369511228459822
abdomens,abdomens,lbfgs,0.3,8,0,,,0.7429403066635132,1.3326997756958008,0,,,3.6554429448151495,-1.3802432119846344,143.75,0,0.7552490481815995,8,0.05539404137301218
abdomens,abdomens,lbfgs,1.0,8,0,,,0.7428901791572571,1.3326847553253174,0,,,3.2085955215152353,-1.3798530548810959,119.5,0,0.7563692756178224,8,0.05557329364146979
abdomens,abdomens,lbfgs,3.0,8,0,,,0.00014480100071523339,1.3326970338821411,0,,,5.423622711445205,-2.178224042057991,212.0,0,0.6634166629884006,7,-0.6795801497016862
abdomens,abdomens,niftyreg,,8,0,,,0.7474040380305265,1.3724008085573725,0,,,154.6270394133462,,,,0.7621507529439763,7,-0.004735390533959993
abdomens_default_ncc,abdomens_default_ncc,rigid,,8,0,,,0.9999999718286163,1.0000000295335134,0,,,,,,,0.6035736590637227,0,0.0
abdomens_default_ncc,abdomens_default_ncc,adam,0.003,8,0,,,0.7426775693893433,1.3135119676589966,0,,,7.588997713493882,-1.7948115468025208,,,0.7685209006094708,8,0.057296510916598486
abdomens_default_ncc,abdomens_default_ncc,lbfgs,0.3,8,0,,,0.013490959070622921,1.3122570514678955,1,,,3.677118915016763,-2.900862827897072,141.125,0,0.6818192380307321,7,-0.4920898202947634
abdomens_default_ncc,abdomens_default_ncc,lbfgs,1.0,8,0,,,0.027631882578134537,1.3121439218521118,1,,,2.842308958002832,-2.9008635729551315,109.5,0,0.681825438426997,7,-0.4920898202947634
abdomens_default_ncc,abdomens_default_ncc,lbfgs,3.0,8,0,,,0.020115401595830917,2.019810438156128,0,,,5.104823111381847,-3.613864079117775,198.0,0,0.5886015230330279,6,-0.6795801497016862
brain_inter_default_ncc,brain_inter_default_ncc,rigid,,1,0,,,0.9999999756628504,0.999999985173713,0,,,,,,,0.9151400129748192,0,0.0
brain_inter_default_ncc,brain_inter_default_ncc,lbfgs,1.0,1,0,,,0.00019543574308045208,0.1009681448340416,1,,,2.5820876949001104,-0.9879095554351807,115.0,0,0.31587636442451045,0,-0.5992636485503087
synthetic_niftyreg_cpu,synthetic_2d,rigid,,8,0,3.1653362728585335,3.0033641908562547,0.9999999874259887,1.0000000283975423,0,0,-0.0,,,,,,,
